1. The security team is concerned because the number of AWS Identity and Access Management (IAM) policies being used in the environment is increasing. The team tasked a SysOps administrator to report on the current number of IAM policies in use and the total available IAM policies. Which AWS service should the administrator use to check how current IAM policy usage compares to current service limits?	A. AWS Trusted Advisor	B. Amazon Inspector	C. AWS Config	D. AWS Organizations	A
12. A SysOps administrator is attempting to download patches from the internet into an instance in a private subnet. An internet gateway exists for the VPC, and a NAT gateway has been deployed on the public subnet; however, the instance has no internet connectivity. The resources deployed into the private subnet must be inaccessible directly from the public internet. <img src="./images/Q12.png" ><br/>What should be added to the private subnet's route table in order to address this issue, given the information provided?	A. 0.0.0.0/0 IGW	B. 0.0.0.0/0 NAT	C. 10.0.1.0/24 IGW	D. 10.0.1.0/24 NA	B 
13. A SysOps administrator applies the following policy to an AWS CloudFormation stack:<img src="./images/Q13.png" ><br/> What is the result of this policy? 	A. Users that assume an IAM role with a logical ID that begins with "Production" are prevented from running the update-stack command. 	B. Users can update all resources in the stack except for resources that have a logical ID that begins with "Production". 	C. Users can update all resources in the stack except for resources that have an attribute that begins with "Production". 	D. Users in an IAM group with a logical ID that begins with "Production" are prevented from running the update-stack command.	B 
14. A company's IT department noticed an increase in the spend of their developer AWS account. There are over 50 developers using the account, and the finance team wants to determine the service costs incurred by each developer. What should a SysOps administrator do to collect this information? (Select TWO.)	A. Activate the createdBy tag in the account	B. Analyze the usage with Amazon CloudWatch dashboards.	C. Analyze the usage with Cost Explorer.	D. Configure AWS Trusted Advisor to track resource usage.	E. Create a billing alarm in AWS Budgets.	AC 
15. A company website contains a web tier and a database tier on AWS. The web tier consists of Amazon EC2 instances that run in an Auto Scaling group across two Availability Zones. The database tier runs on an Amazon ROS for MySQL Multi-AZ DB instance. The database subnet network ACLs are restricted to only the web subnets that need access to the database. The web subnets use the default network ACL with the default rules. The company's operations team has added a third subnet to the Auto Scaling group configuration. After an Auto Scaling event occurs, some users report that they intermittently receive an error message. The error message states that the server cannot connect to the database. The operations team has confirmed that the route tables are correct and that the required ports are open on all security groups. Which combination of actions should a SysOps administrator take so that the web servers can communicate with the DB instance? (Select TWO.) 	A. On the default ACL. create inbound Allow rules of type TCP with the ephemeral port range and the source as the database subnets. 	B. On the default ACL, create outbound Allow rules of type MySQL/Aurora (3306). Specify the destinations as the database subnets. 	C. On the network ACLs for the database subnets, create an inbound Allow rule of type MySQL/Aurora (3306). Specify the source as the third web subnet. 	D. On the network ACLs for the database subnets, create an outbound Allow rule of type TCP with the ephemeral port range and the destination as the third web subnet. 	E. On the network ACLs for the database subnets, create an outbound Allow rule of type MySQL/Aurora (3306). Specify the destination as the third web subnet.	CD 
16. A company is running an application on a fleet of Amazon EC2 instances behind an Application Load  Balancer (ALB). The EC2 instances are launched by an Auto Scaling group and are automatically  registered in a target group. A SysOps administrator must set up a notification to alert application  owners when targets fail health checks.  What should the SysOps administrator do to meet these requirements? 	A. Create an Amazon CloudWatch alarm on the UnHealthyHostCount metric. Configure an action to send an Amazon Simple Notification Service (Amazon SNS) notification when the metric is greater than 0. 	B. Configure an Amazon EC2 Auto Scaling custom lifecycle action to send an Amazon Simple Notification Service (Amazon SNS) notification when an instance is in the Pending:Wait state. 	C. Update the Auto Scaling group. Configure an activity notification to send an Amazon Simple Notification Service (Amazon SNS) notification for the Unhealthy event type. 	D. Update the ALB health check to send an Amazon Simple Notification Service (Amazon SNS) notification when an instance is unhealthy. 	A
17. A company wants to build a solution for its business-critical Amazon RDS for MySQL database. The database requires high availability across different geographic locations. A SysOps administrator must build a solution to handle a disaster recovery (DR) scenario with the lowest recovery time objective (RTO) and recovery point objective (RPO). Which solution meets these requirements? 	A. Create automated snapshots of the database on a schedule. Copy the snapshots to the DR Region. 	B. Create a cross-Region read replica for the database. 	C. Create a Multi-AZ read replica for the database. 	D. Schedule AWS Lambda functions to create snapshots of the source database and to copy the snapshots to a DR Region.	B 
18. A SysOps administrator is using Amazon EC2 instances to host an application. The SysOps administrator needs to grant permissions for the application to access an Amazon DynamoDB table. Which solution will meet this requirement?	A. Create access keys to access the DynamoDB table. Assign the access keys to the EC2 instance profile.	B. Create an EC2 key pair to access the DynamoDB table. Assign the key pair to the EC2 instance profile.	C. Create an IAM user to access the DynamoDB table. Assign the IAM user to the EC2 instance profile.	D. Create an IAM role to access the DynamoDB table. Assign the IAM role to the EC2 instance profile.	D
19. A company has a web application with a database tier that consists of an Amazon EC2 instance that runs MySQL. A SysOps administrator needs to minimize potential data loss and the time that is required to recover in the event of a database failure. What is the MOST operationally efficient solution that meets these requirements?	A. Create an Amazon CloudWatch alarm for the StatusCheckFailed_System metric to invoke an AWS Lambda function that stops and starts the EC2 instance. 	B. Create an Amazon RDS for MySQL Multi-AZ DB instance. Use a MySQL native backup that is stored in Amazon S3 to restore the data to the new database. Update the connection string in the web application. 	C. Create an Amazon RDS for MySQL Single-AZ DB instance with a read replica. Use a MySQL native backup that is stored in Amazon S3 to restore the data to the new database. Update the connection string in the web application. 	D. Use Amazon Data Lifecycle Manager (Amazon DLM) to take a snapshot of the Amazon Elastic Block Store (Amazon EBS) volume every hour. In the event of an EC2 instance failure, restore the EBS volume from a snapshot.	D 
20. A company migrated an I/O intensive application to an Amazon EC2 general purpose instance. The EC2 instance has a single General Purpose SSD Amazon Elastic Block Store (Amazon EBS) volume attached. Application users report that certain actions that require intensive reading and writing to the disk are taking much longer than normal or are failing completely. After reviewing the performance metrics of the EBS volume, a SysOps administrator notices that the VolumeQueueLength metric is consistently high during the same times in which the users are reporting issues. The SysOps administrator needs to resolve this problem to restore full performance to the application. Which action will meet these requirements? 	A. Modify the instance type to be storage optimized. 	B. Modify the volume properties by deselecting Auto-Enable Volume 10. 	C. Modify the volume properties to increase the IOPS. 	D. Modify the instance to enable enhanced networking.	C
21. A SysOps administrator is trying to set up an Amazon Route 53 domain name to route traffic to a website hosted on Amazon S3. The domain name of the website is www.anycompany.com and the S3 bucket name is anycompany-static. After the record set is set up in Route 53, the domain name www.anycompany.com does not seem to work, and the static website is not displayed in the browser. Which of the following is a cause of this?	A. The S3 bucket must be configured with Amazon CloudFront first.	B. The Route 53 record set must have an IAM role that allows access to the S3 bucket.	C. The Route 53 record set must be in the same region as the S3 bucket.	D. The S3 bucket name must match the record set name in Route 53.	D
22. An Amazon EC2 instance needs to be reachable from the internet. The EC2 instance is in a subnet with the following route table: <img src="./images/Q22.png" ><br/>Which entry must a SysOps administrator add to the route table to meet this requirement?	A. A route for 0.0.0.0/0 that points to a NAT gateway	B. A route for 0.0.0.0/0 that points to an egress-only internet gateway	C. A route for 0.0.0.0/0 that points to an internet gateway	D. A route for 0.0.0.0/0 that points to an elastic network interface	C
23. A SysOps administrator has enabled AWS CloudTrail in an AWS account. If CloudTrail is disabled, it must be re-enabled immediately. What should the SysOps administrator do to meet these requirements WITHOUT writing custom code?	A. Add the AWS account to AWS Organizations. Enable CloudTrail in the management account.	B. Create an AWS Config rule that is invoked when CloudTrail configuration changes. Apply the AWS- ConfigureCloudTrailLogging automatic remediation action.	C. Create an AWS Config rule that is invoked when CloudTrail configuration changes. Configure the rule to invoke an AWS Lambda function to enable CloudTrail.	D. Create an Amazon EventBridge (Amazon CloudWatch Events) hourly rule with a schedule pattern to run an AWS Systems Manager Automation document to enable CloudTrail	D
24. A company has a stateless application that runs on four Amazon EC2 instances. The application requires tour instances at all times to support all traffic. A SysOps administrator must design a highly available,fault-tolerant architecture that continually supports all traffic if one Availability Zone becomes unavailable. Which configuration meets these requirements?	A. Deploy two Auto Scaling groups in two Availability Zones with a minimum capacity of two instances in each group.	B. Deploy an Auto Scaling group across two Availability Zones with a minimum capacity of four instances.	C. Deploy an Auto Scaling group across three Availability Zones with a minimum capacity of four instances.	D. Deploy an Auto Scaling group across three Availability Zones with a minimum capacity of six instances.	C
25. A company's backend infrastructure contains an Amazon EC2 instance in a private subnet. The private subnet has a route to the internet through a NAT gateway in a public subnet. The instance must allow connectivity to a secure web server on the internet to retrieve data at regular intervals. The client software times out with an error message that indicates that the client software could not establish the TCP connection. What should a SysOps administrator do to resolve this error?	A. Add an inbound rule to the security group for the EC2 instance with the following parameters: Type - HTTP, Source - 0.0.0.0/0.	B. Add an inbound rule to the security group for the EC2 instance with the following parameters: Type - HTTPS, Source - 0.0.0.0/0. 	C. Add an outbound rule to the security group for the EC2 instance with the following parameters: Type - HTTP, Destination - 0.0.0.0/0. 	D. Add an outbound rule to the security group for the EC2 instance with the following parameters: Type - HTTPS. Destination - 0.0.0.0/0.	D
26. A software development company has multiple developers who work on the same product. Each developer must have their own development environment, and these development environments must be identical. Each development environment consists of Amazon EC2 instances and an Amazon RDS DB instance. The development environments should be created only when necessary, and they must be terminated each night to minimize costs. What is the MOST operationally efficient solution that meets these requirements? 	A. Provide developers with access to the same AWS CloudFormation template so that they can provision their development environment when necessary. Schedule a nightly cron job on each development instance to stop all running processes to reduce CPU utilization to nearly zero. 	B. Provide developers with access to the same AWS CloudFormation template so that they can provision their development environment when necessary. Schedule a nightly Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function to delete the AWS CloudFormation stacks. 	C. Provide developers with CLI commands so that they can provision their own development environment when necessary. Schedule a nightly Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function to terminate all EC2 instances and the DB instance.	D. Provide developers with CLI commands so that they can provision their own development environment when necessary. Schedule a nightly Amazon EventBridge (Amazon CloudWatch Events) rule to cause AWS CloudFormation to delete all of the development environment resources.	B
27. A company runs a stateless application that is hosted on an Amazon EC2 instance. Users are reporting performance issues. A SysOps administrator reviews the Amazon CloudWatch metrics for the application and notices that the instance's CPU utilization frequently reaches 90% during business hours. What is the MOST operationally efficient solution that will improve the application's responsiveness?  	A. Configure CloudWatch logging on the EC2 instance. Configure a CloudWatch alarm for CPU utilization to alert the SysOps administrator when CPU utilization goes above 90%. 	B. Configure an AWS Client VPN connection to allow the application users to connect directly to the EC2 instance private IP address to reduce latency. 	C. Create an Auto Scaling group, and assign it to an Application Load Balancer. Configure a targettracking scaling policy that is based on the average CPU utilization of the Auto Scaling group. 	D. Create a CloudWatch alarm that activates when the EC2 instance's CPU utilization goes above 80%. Configure the alarm to invoke an AWS Lambda function that vertically scales the instance. 	C
28. A company is testing Amazon Elasticsearch Service (Amazon ES) as a solution for analyzing system logs from a fleet of Amazon EC2 instances. During the test phase, the domain operates on a single- node cluster. A SysOps administrator needs to transition the test domain into a highly available production-grade deployment. Which Amazon ES configuration should the SysOps administrator use to meet this requirement?  	A. Use a cluster of four data nodes across two AWS Regions. Deploy four dedicated master nodes in each Region. 	B. Use a cluster of six data nodes across three Availability Zones. Use three dedicated master nodes.	C. Use a cluster of six data nodes across three Availability Zones. Use six dedicated master nodes. 	D. Use a luster of eight data nodes across two Availability Zones. Deploy four master nodes in a failover AWS Region.	B 
29. A company recently acquired another corporation and all of that corporation's AWS accounts. A financial analyst needs the cost data from these accounts. A SysOps administrator uses Cost Explorer to generate cost and usage reports. The SysOps administrator notices that "No Tagkey" represents 20% of the monthly cost. What should the SysOps administrator do to tag the "No Tagkey" resources?  	A. Add the accounts to AWS Organizations. Use a service control policy (SCP) to tag all the untagged resources. 	B. Use an AWS Config rule to find the untagged resources. Set the remediation action to terminate the resources. 	C. Use Cost Explorer to find and tag all the untagged resources. 	D. Use Taq Editor to find and taq all the untaqqed resources. 	D
30. A company is using Amazon Elastic File System (Amazon EFS) to share a file system among several Amazon EC2 instances. As usage increases, users report that file retrieval from the EFS file system is slower than normal. Which action should a SysOps administrator take to improve the performance of the file system?  	A. Configure the file system for Provisioned Throughput. 	B. Enable encryption in transit on the file system. 	C. Identify any unused files in the file system, and remove the unused files. 	D. Resize the Amazon Elastic Block Store (Amazon EBS) volume of each of the EC2 instances. 	A
31. A SysOps administrator is helping a development team deploy an application to AWS Trie AWS CloudFormat on temp ate includes an Amazon Linux EC2 Instance an Amazon Aurora DB cluster and a hard coded database password that must be rotated every 90 days What is the MOST secure way to manage the database password? 	A. Use the AWS SecretsManager Secret resource with the GenerateSecretString property to automatically generate a password Use the AWS SecretsManager RotationSchedule resource lo define a rotation schedule lor the password Configure the application to retrieve the secret from AWS Secrets Manager access the database	B. Use me AWS SecretsManager Secret resource with the SecretStrmg property Accept a password as a CloudFormation parameter Use the AllowedPatteen property of the CloudFormaton parameter to require e minimum length, uppercase and lowercase letters and special characters Configure me application to retrieve the secret from AWS Secrets Manager to access the database 	C. Use the AWS SSM Parameter resource Accept input as a Qoudformatton parameter to store the parameter as a secure sting Configure the application to retrieve the parameter from AWS Systems Manager Parameter Store to access the database 	D. Use the AWS SSM Parameter resource Accept input as a Cloudf ormetton parameter to store the parameter as a string Configure the application to retrieve the parameter from AWS Systems Manager Parameter Store to access the database 	A
32. An application team uses an Amazon Aurora MySQL DB cluster with one Aurora Replic a. The application team notices that the application read performance degrades when user connections exceed 200. The number of user connections is typically consistent around 180. with occasional sudden increases above 200 connections. The application team wants the application to automatically scale as user demand increases or decreases. Which solution will meet these requirements?	A. Migrate to a new Aurora multi-master DB cluster. Modify the application database connection string	B. Modify the DB cluster by changing to serverless mode whenever user connections exceed 200	C. Create an auto scaling policy with a target metric of 195 DatabaseConnection	D. Modify the DB cluster by increasing the Aurora Replica instance size.	C
33. A company's SysOps administrator has created an Amazon EC2 instance with custom software that will be used as a template for all new EC2 instances across multiple AWS accounts. The Amazon Elastic Block Store (Amazon EBS) volumes that are attached to the EC2 instance are encrypted with AWS managed keys. The SysOps administrator creates an Amazon Machine Image (AMI) of the custom EC2 instance and plans to share the AMI with the company's other AWS accounts. The company requires that all AMIs are encrypted with AWS Key Management Service (AWS KMS) keys and that only authorized AWS accounts can access the shared AMIs. Which solution will securely share the AMI with the other AWS accounts	A. In the account where the AMI was created, create a customer master key (CMK). Modify the key policy to provide kms:DescribeKey, kms ReEncrypf, kms:CreateGrant, and kms:Decrypt permissions to the AWS accounts that the AMI will be shared with. Modify the AMI permissions to specify the AWS account numbers that the AMI will be shared with.	B. In the account where the AMI was created, create a customer master key (CMK). Modify the key policy to provide kms:DescribeKey, kms:ReEncrypt*. kms:CreateGrant, and kms;Decrypt permissions to the AWS accounts that the AMI will be shared with. Create a copy of the AMI. and specify the CMK. Modify the permissions on the copied AMI to specify the AWS account numbers that the AMI will be shared with.	C. In the account where the AMI was created, create a customer master key (CMK). Modify the key policy to provide kms:DescrlbeKey, kms:ReEncrypt\ kms:CreateGrant, and kms:Decrypt permissions to the AWS accounts that the AMI will be shared with. Create a copy of the AMI. and specify the CMK. Modify the permissions on the copied AMI to make it public.	D. In the account where the AMI was created, modify the key policy of the AWS managed key to provide kms:DescnbeKey. kms:ReEncrypt\ kms:CreateGrant, and kms:Decrypt permissions to the AWS accounts that the AMI will be shared with. Modify the AMI permissions to specify the AWS account numbers that the AMI will be shared with.	B 
34. A SysOps administrator is provisioning an Amazon Elastic File System (Amazon EFS) file system to provide shared storage across multiple Amazon EC2 instances The instances all exist in the same VPC across multiple Availability Zones. There are two instances In each Availability Zone. The SysOps administrator must make the file system accessible to each instance with the lowest possible latency. Which solution will meet these requirements?	A. Create a mount target for the EFS file system in the VPC. Use the mount target to mount the file system on each of the instance	B. Create a mount target for the EFS file system in one Availability Zone of the VPC. Use the mount target to mount the file system on the instances in that Availability Zone. Share the directory with the other instances.	C. Create a mount target for each instance. Use each mount target to mount the EFS file system on each respective instance.	D. Create a mount target in each Availability Zone of the VPC Use the mount target to mount the EFS file system on the Instances in the respective Availability Zone.	D
35. A SysOps administrator has used AWS Cloud Formal ion to deploy a serverless application Into a production VPC. The application consists of an AWS Lambda function an Amazon DynamoDB table, and an Amazon API Gateway API. The SysOps administrator must delete the AWS Cloud Formation stack without deleting the DynamoDB table. Which action should the SysOps administrator take before deleting the AWS Cloud Formation stack? 	A. Add a Retain deletion policy to the DynamoDB resource in the AWS CloudFormation stack	B. Add a Snapshot deletion policy to the DynamoDB resource in the AWS CloudFormation stack.	C. Enable termination protection on the AWS Cloud Formation stack.	D. Update the application's IAM policy with a Deny statement for the dynamodb:DeleteTabie action.	A
36. A SysOps administrator Is troubleshooting an AWS Cloud Formation template whereby multiple Amazon EC2 instances are being created The template is working In us-east-1. but it is failing In us- west-2 with the error code:<img src="./images/Q36.png" ><br/> How should the administrator ensure that the AWS Cloud Formation template is working in every region?	A. Copy the source region's Amazon Machine Image (AMI) to the destination region and assign it the same ID. 	B. Edit the AWS CloudFormatton template to specify the region code as part of the fully qualified AMI ID. 	C. Edit the AWS CloudFormatton template to offer a drop-down list of all AMIs to the user by using the aws :: EC2:: ami :: imageiD control. 	D. Modify the AWS CloudFormation template by including the AMI IDs in the "Mappings" section. Refer to the proper mapping within the template for the proper AMI ID.	A
37. A company runs us Infrastructure on Amazon EC2 Instances that run In an Auto Scaling group. Recently, the company promoted faulty code to the entire EC2 fleet. This faulty code caused the Auto Scaling group to scale the instances before any of the application logs could be retrieved. What should a SysOps administrator do to retain the application logs after instances are terminated?	A Configure an Auto Scaling lifecycle hook to create a snapshot of the ephemeral storage upon termination of the instances.	B. Create a new Amazon Machine Image (AMI) that has the Amazon CloudWatch agent installed and configured to send logs to Amazon CloudWatch Logs. Update the launch template to use the new AMI.	C. Create a new Amazon Machine Image (AMI) that has a custom script configured to send logs to AWS CloudTrail. Update the launch template to use the new AMI.	D. Install the Amazon CloudWatch agent on the Amazon Machine Image (AMI) that is defined in the launch template. Configure the CloudWatch agent to back up the logs to ephemeral storage.	B
38. A company has a critical serverless application that uses multiple AWS Lambda functions. Each Lambda function generates 1 GB of log data daily in tts own Amazon CloudWatch Logs log group. The company's security team asks for a count of application errors, grouped by type, across all of the log groups. What should a SysOps administrator do to meet this requirement? 	A. Perform a CloudWatch Logs Insights query that uses the stats command and count function.	B. Perform a CloudWatch Logs search that uses the groupby keyword and count function.	C. Perform an Amazon Athena query that uses the SELECT and GROUP BY keywords.	D. Perform an Amazon RDS query that uses the SELECT and GROUP BY keywords. 	A
39. A company monitors its account activity using AWS CloudTrail. and is concerned that some log files are being tampered with after the logs have been delivered to the account's Amazon S3 bucket. Moving forward, how can the SysOps administrator confirm that the log files have not been modified after being delivered to the S3 bucket? 	A. Stream the CloudTrail logs to Amazon CloudWatch Logs to store logs at a secondary location.	B. Enable log file integrity validation and use digest files to verify the hash value of the log file.	C. Replicate the S3 log bucket across regions, and encrypt log files with S3 managed keys.	D. Enable S3 server access logging to track requests made to the log bucket for security audits.	B
40. A team of On-call engineers frequently needs to connect to Amazon EC2 Instances In a private subnetto troubleshoot and run commands. The Instances use either the latest AWS-provided Windows Amazon Machine Images (AMIs) or Amazon Linux AMIs. The team has an existing IAM role for authorization. A SysOps administrator must provide the team with access to the Instances by granting IAM permissions to this Which solution will meet this requirement?  	A. Add a statement to the IAM role policy to allow the ssm:StartSession action on the instances. Instruct the team to use AWS Systems Manager Session Manager to connect to the Instances by using the assumed IAM role. 	B. Associate an Elastic IP address and a security group with each instance. Add the engineers' IP addresses to the security group inbound rules. Add a statement to the IAM role policy to allow the ec2:AuthoflzeSecurityGroupIngress action so that the team can connect to the Instances. 	C. Create a bastion host with an EC2 Instance, and associate the bastion host with the VPC. Add a statement to the IAM role policy to allow the ec2:CreateVpnConnection action on the bastion host. Instruct the team to use the bastion host endpoint to connect to the instances. 	D Create an internet-facing Network Load Balancer. Use two listeners. Forward port 22 to a target group of Linux instances. Forward port 3389 to a target group of Windows Instances. Add a statement to the IAM role policy to allow the ec2:CreateRoute action so that the team can connect to the Instances.	A
41. A company has an AWS Cloud Formation template that creates an Amazon S3 bucket. A user authenticates to the corporate AWS account with their Active Directory credentials and attempts to deploy the Cloud Formation template. However, the stack creation fails. Which factors could cause this failure? (Select TWO.) 	A. The user's IAM policy does not allow the cloudformation:CreateStack action.	B. The user's IAM policy does not allow the cloudformation:CreateStackSet action.	C. The user's IAM policy does not allow the s3:CreateBucket action.	D. The user's IAM policy explicitly denies the s3:ListBucket action.	E. The user's IAM policy explicitly denies the s3:PutObject action	AC
42. A company runs a web application on three Amazon EC2 instances behind an Application Load Balancer (ALB). The company notices that random periods of increased traffic cause a degradation in the application's performance. A SysOps administrator must scale the application to meet the increased traffic. Which solution meets these requirements? 	A. Create an Amazon CloudWatch alarm to monitor application latency and increase the size of each EC2 instance If the desired threshold is reached.	B. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to monitor application latency and add an EC2 instance to the ALB if the desired threshold is reached.	C. Deploy the application to an Auto Scaling group of EC2 instances with a target tracking scaling policy. Attach the ALB to the Auto Scaling group.	D. Deploy the application to an Auto Scaling group of EC2 instances with a scheduled scaling policy. Attach the ALB to the Auto Scaling group.	C
43. A company has a new requirement stating that all resources In AWS must be tagged according to a set policy. Which AWS service should be used to enforce and continually Identify all resources that are not in compliance with the policy? 	A. AWS CloudTrail	B. Amazon Inspector	C. AWS Config	D. AWS Systems Manager	C
