88. Which service provides a way to convert video and audio files from their source format into versions that will playback on devices like smartphones, tablets and PCs?	A. Amazon Elastic Transcoder	B. AWS Glue	C. Amazon Rekognition	D. Amazon Comprehend	A	
89. When using AWS Organizations with consolidated billing what are two valid best practices? (Select TWO.)	A. Always enable multi-factor authentication (MFA) on the root account	B. Always use a straightforward password on the root account	C. The paying account should be used for billing purposes only	D. Use the paying account for deploying resources	E. Never exceed the limit of 20 linked accounts	AC
90. Which AWS support plan comes with a Technical Account Manager (TAM)?	A. Basic	B. Developer	C. Business	D. Enterprise	D	
91. Which service provides the ability to simply upload applications and have AWS handle the deployment details of capacity provisioning, load balancing, auto-scaling, and application health monitoring?	A. Amazon EC2	B. AWS Elastic Beanstalk	C. Amazon EC2 Auto Scaling	D. AWS OpsWorks	B	
92. You are concerned that you may be getting close to some of the default service limits for several AWS services. What AWS tool  133 © 2024 Digital Cloud Training can be used to display current usage and limits?	A. AWS CloudWatch	B. AWS Personal Health Dashboard	C. AWS Trusted Advisor	D. AWS Systems Manager	C	
93. You need to run a production process that will use several EC2 instances and run constantly on an ongoing basis. The process cannot be interrupted or restarted without issue. What EC2 pricing model would be best for this workload?	A. Reserved instances	B. Spot instances	C. On-demand instances	D. Flexible instances	A	
94. Which AWS service does API Gateway integrate with to enable users from around the world to achieve the lowest possible latency for API requests and responses?	A. AWS Direct Connect	B. Amazon S3 Transfer Acceleration	C. Amazon CloudFront	D. AWS Lambda	C	
95. Which service can an organization use to track API activity within their account?	A. AWS CloudTrail	B. Amazon CloudWatch	C. AWS IAM	D. AWS CloudHSM	A	
96. What tool provides real time guidance to help you provision your resources following best practices in the areas of cost optimization, performance, security and fault tolerance?	A. AWS Inspector	B. AWS Trusted Advisor	C. AWS Personal Health Dashboard	D. AWS IAM	B	
97. What is the best way for an organization to transfer hundreds of terabytes of data from their on-premise data center into Amazon S3 with limited bandwidth available?	A. Use S3 Transfer Acceleration	B. Apply compression before uploading	C. Use AWS Snowball	D. Use Amazon CloudFront	C	
98. Which database allows you to scale at the push of a button without incurring any downtime?	A. Amazon RDS	B. Amazon EMR	C. Amazon DynamoDB	D. Amazon RedShift	C	
99. What are the charges for using Amazon Glacier? (Select TWO.)	A. Data transferred into Glacier	B. Retrieval requests	C. Data storage	D. Enhanced networking	E. Number of Availability Zones	BC
100. Which of the following statements are correct about the benefits of AWS Direct Connect? (Select TWO.)	A. Quick to implement	B. Increased reliability (predictable performance)	C. Lower cost than a VPN	D. Increased bandwidth (predictable bandwidth)	E. Uses redundant paths across the Internet	BD
101. Which AWS service lets you use Chef and Puppet to automate how servers are configured, deployed, and managed across your Amazon EC2 instances or on-premises compute environments?	A. AWS Elastic Beanstalk	B. AWS CloudFormation	C. AWS Systems Manager	D. AWS OpsWorks	D	
102. Which AWS database service provides a fully managed data warehouse that can be analyzed using SQL tools and business intelligence tools?	A. Amazon RDS	B. Amazon DynamoDB	C. Amazon RedShift	D. Amazon ElastiCache	C	
103. Which service can be used to create sophisticated, interactive graph applications?	A. Amazon RedShift	B. Amazon Neptune	C. AWS X-Ray	D. Amazon Athena	B	
104. When using Amazon IAM, what authentication methods are available to use? (Select TWO.)	A. Client certificates	B. Access keys	C. AWS KMS	D. Server certificates	E. AES 256	BD
105. How does the consolidated billing feature of AWS Organizations treat Reserved Instances that were purchased by another account in the organization?	A. All accounts in the organization are treated as one account so any account can receive the hourly cost benefit	B. Only the master account can benefit from the hourly cost benefit of the reserved instances	C. All accounts in the organization are treated as one account for volume discounts but not for reserved instances	D. AWS Organizations does not support any volume or reserved instance benefits across accounts, it is just a method of aggregating bills	A	
106. Which of the below AWS services supports automated backups as a default configuration?	A. Amazon S3	B. Amazon RDS	C. Amazon EC2	D. Amazon EBS	B	
107. What are the advantages of Availability Zones? (Select TWO.)	A. They allow regional disaster recovery	B. They provide fault isolation	C. They enable the caching of data for faster delivery to end users	D. They are connected by low-latency network connections	E. They enable you to connect your on-premises networks to AWS to form a hybrid cloud	BD
108. Which of the options below are recommendations in the cost optimization pillar of the well-architected framework? (Select TWO.)	A. Adopt a consumption model	B. Adopt a capital expenditure model	C. Start spending money on data center operations	D. Analyze and attribute expenditure	E. Manage your services independently	AD
109. What are Edge locations used for?	A. They are used for terminating VPN connections	B. They are used by CloudFront for caching content	C. They are the public-facing APIs for Amazon S3	D. They are used by regions for inter-region connectivity	B	
110. To ensure the security of your AWS account, what are two AWS best practices for managing access keys? (Select TWO.)	A. Don’t create any access keys, use IAM roles instead	B. Don’t generate an access key for the root account user	C. Where possible, use IAM roles with temporary security credentials	D. Rotate access keys daily	E. Use MFA for access keys	BC
111. An Amazon EC2 instance running the Amazon Linux 2 AMI is billed in what increment?	A. Per second	B. Per hour	C. Per CPU	D. Per GB	A	
112. To gain greater discounts, which services can be reserved? (Select TWO.)	A. Amazon RedShift	B. Amazon S3	C. AWS Lambda	D. Amazon DynamoDB	E. Amazon CloudWatch	AD
113. Which service allows an organization to view operational data from multiple AWS services through a unified user interface and automate operational tasks?	A. AWS Config	B. AWS OpsWorks	C. AWS Systems Manager	D. Amazon CloudWatch	C	
114. How can an organization track resource inventory and configuration history for the purpose of security and regulatory compliance?	A. Configure AWS Config with the resource types	B. Create an Amazon CloudTrail trail	C. Implement Amazon GuardDuty	D. Run a report with AWS Artifact	A	
115. A security operations engineer needs to implement threat detection and monitoring for malicious or unauthorized behavior. Which service should be used?	A. AWS Shield	B. AWS KMS	C. AWS CloudHSM	D. AWS GuardDuty	D	
116. Which authentication method is used to authenticate programmatic calls to AWS services?	A. Console password	B. Server certificate	C. Key pair	D. Access keys	D	
117. What is a benefit of moving an on-premises database to Amazon Relational Database Service (RDS)?  147 © 2024 Digital Cloud Training	A. There is no need to manage operating systems	B. You can scale vertically without downtime	C. There is no database administration required	D. You can run any database engine	A	
118. What are the benefits of using Amazon Rekognition with image files?	A. Can be used to resize images	B. Can be used to identify objects in an image	C. Can be used to transcode audio	D. Can help with image compression	B	
119. Which IAM entity is associated with an access key ID and secret access key?	A. IAM Group	B. IAM Role	C. IAM Policy	D. IAM User	D	
120. Which IAM entity can be used for assigning permissions to multiple users?	A. IAM User	B. IAM Group	C. IAM Role	D. IAM password policy	B	
121. Which service can be used to cost-effectively move exabytes of data into AWS?	A. AWS Snowmobile	B. AWS Snowball	C. S3 Transfer Acceleration	D. S3 Cross-Region Replication (CRR)	A	
122. Which AWS services are associated with Edge Locations? (Select TWO.)	A. Amazon CloudFront	B. AWS Direct Connect	C. AWS Shield	D. Amazon EBS	E. AWS Config	AC
123. Which service can be used to easily create multiple accounts?	A. AWS IAM	B. AWS CloudFormation	C. AWS Organizations	D. Amazon Connect	C	
124. What is a specific benefit of an Enterprise Support plan?	A. Included Technical Support Manager	B. Included AWS Solutions Architect	C. Included Cloud Support Associate	D. Included Technical Account Manager	D	
125. You have been running an on-demand Amazon EC2 instance running Linux for 4hrs, 5 minutes and 6 seconds. How much time will you be billed for?	A. 5hrs	B. 4hrs, 6mins	C. 4hrs, 5mins, and 6 seconds	D. 4hrs	C	
126. Which of the below is an example of an architectural benefit of moving to the cloud?	A. Elasticity	B. Monolithic services	C. Proprietary hardware	D. Vertical scalability	A	
127. What are the benefits of using reserved instances? (Select TWO.)	A. Reduced cost	B. More flexibility	C. Reserve capacity	D. Uses dedicated hardware	E. High availability	AC
128. Which AWS tools can be used for automation? (Select TWO.)	A. AWS Elastic Beanstalk	B. Elastic Load Balancing	C. AWS CloudFormation	D. Amazon Elastic File System (EFS)	E. AWS Lambda	AC
129. Which IAM entity can be used for assigning permissions to AWS services?	A. IAM Access Key ID and Secret Access Key	B. IAM Policy	C. IAM Role	D. Security Token Service (STS)	C	
130. How does Amazon EC2 Auto Scaling help with resiliency?	A. By distributing connections to EC2 instances	B. By launching and terminating instances as needed	C. By changing instance types to increase capacity	D. By automating the failover of applications	B	
131. Your CTO wants to move to cloud. What cost advantages are there to moving to cloud?	A. You provision only what you need and adjust to peak load	B. You can reduce your marketing costs	C. You don’t need to pay for application licensing	D. You get free data transfer into and out of the cloud	A	
132. Which AWS service should be used to create a billing alarm?	A. AWS Trusted Advisor	B. AWS CloudTrail	C. Amazon CloudWatch	D. Amazon QuickSight	C	
133. How can consolidated billing within AWS Organizations help lower overall monthly expenses?	A. By providing a consolidated view of monthly billing across multiple accounts	B. By pooling usage across multiple accounts to achieve a pricing tier discount	C. By automating the creation of new accounts through APls	D. By leveraging service control policies (SCP) for centralized service management	B	
134. Which Amazon EC2 pricing model should be used to comply with per-core software license requirements?	A. Dedicated Hosts	B. On-Demand Instances	C. Spot Instances	D. Reserved Instances	A	
135. Which of the following are advantages of the AWS Cloud? (Select TWO.)	A. AWS manages the maintenance of the cloud infrastructure	B. AWS manages the security of applications built on AWS	C. AWS manages capacity planning for physical servers	D. AWS manages the development of applications on AWS	E. AWS manages cost planning for virtual servers	AC
136. The ability to horizontally scale Amazon EC2 instances based on demand is an example of which concept?	A. Economy of scale	B. Elasticity	C. High availability	D. Agility	B	
137. Which AWS service provides a quick and automated way to create and manage AWS accounts?	A. AWS QuickSight	B. Amazon LightSail	C. AWS Organizations	D. Amazon Connect	C	
138. Which tool can be used to create alerts when the actual or forecasted cost of AWS services exceed a certain threshold?	A. AWS Cost Explorer	B. AWS Budgets	C. AWS Cost and Usage report	D. AWS CloudTrail	B	
139. A user has an AWS account with a Business-level AWS Support plan and needs assistance with handling a production service disruption. Which action should the user take?	A. Contact the dedicated Technical Account Manager	B. Contact the dedicated AWS Concierge Support team	C. Open a business-critical system down support case	D. Open a production system down support case	D	
140. Which type of AWS Storage Gateway can be used to backup data with popular backup software?	A. File Gateway	B. Volume Gateway	C. Gateway Virtual Tape Library	D. Backup Gateway	C	
141. You would like to collect custom metrics from a production application every 1 minute. What type of monitoring should you use?	A. CloudWatch with detailed monitoring	B. CloudTrail with basic monitoring	C. CloudWatch with basic monitoring	D. CloudTrail with detailed monitoring	A	
142. What billing timeframes are available for Amazon EC2 on-demand instances? (Select TWO.)	A. Per week	B. Per day	C. Per hour	D. Per minute	E. Per second	CE
143. Which Amazon EC2 pricing option provides significant discounts for fixed term contracts?	A. Reserved Instances	B. Spot Instances	C. Dedicated Instances	D. Dedicated Hosts	A	
